case_id,target,method,attained,score,quality,B,U,total,peak
C008,1,LG+CS,True,0.8967977514438235,0.7167977514438234,1,1,0.0,0.0
C008,1,JBC,True,0.91841742294831,0.73841742294831,1,1,0.0,0.0
C008,2,LocalGreedy,True,0.877821755913524,0.697821755913524,2,1,0.0,0.0
C008,2,LG+Count,True,0.877821755913524,0.697821755913524,2,1,0.0,0.0
C008,2,LG+CS,True,0.9112428129005072,0.7312428129005073,2,1,0.0,0.0
C008,2,JBC,True,0.9112428129005072,0.7312428129005073,2,1,0.0,0.0
C009,1,LocalGreedy,True,0.8519420760171899,0.6719420760171899,1,1,0.0,0.0
C009,1,LG+Count,True,0.8519420760171899,0.6719420760171899,1,1,0.0,0.0
C009,1,LG+CS,True,0.9146872239761972,0.7346872239761971,1,1,0.0,0.0
C009,1,JBC,True,0.9146872239761972,0.7346872239761971,1,1,0.0,0.0
C009,2,LocalGreedy,True,0.8925177472944701,0.71251774729447,2,1,0.0,0.0
C009,2,LG+Count,True,0.8925177472944701,0.71251774729447,2,1,0.0,0.0
C009,2,LG+CS,True,1.8164733114529117,1.4564733114529118,2,2,0.0,0.0
C009,2,JBC,True,1.8180057891789203,1.4580057891789204,2,2,0.0,0.0
C009,3,LocalGreedy,True,1.7771135568230605,1.4171135568230606,3,2,0.0,0.0
C009,3,LG+Count,True,1.7771135568230605,1.4171135568230606,3,2,0.0,0.0
C009,3,LG+CS,True,1.811293466097768,1.451293466097768,3,2,0.0,0.0
C009,3,JBC,True,1.8276235019340197,1.4676235019340198,3,2,0.0,0.0
C009,4,LocalGreedy,True,1.7683590252966526,1.4083590252966527,4,2,0.0,0.0
C009,4,LG+Count,True,1.7683590252966526,1.4083590252966527,4,2,0.0,0.0
C009,4,LG+CS,True,1.8022104377868495,1.4422104377868497,4,2,0.0,0.0
C009,4,JBC,True,1.8185404736231017,1.4585404736231016,4,2,0.0,0.0
C010,1,LocalGreedy,True,0.8941949211542777,0.7141949211542777,1,1,0.0,0.0
C010,1,LG+Count,True,0.8941949211542777,0.7141949211542777,1,1,0.0,0.0
C010,1,LG+CS,True,0.9136628920589767,0.7336628920589767,1,1,0.0,0.0
C010,1,JBC,True,0.9189122589855425,0.7389122589855425,1,1,0.0,0.0
C010,2,LocalGreedy,True,0.8854143797454355,0.7054143797454355,2,1,0.0,0.0
C010,2,LG+Count,True,0.8854143797454355,0.7054143797454355,2,1,0.0,0.0
C010,2,LG+CS,True,1.8075338178107971,1.4475338178107973,2,2,0.0,0.0
C010,2,JBC,True,1.832575151044519,1.472575151044519,2,2,0.0,0.0
C010,3,LocalGreedy,True,1.7791109465501838,1.4191109465501837,3,2,0.0,0.0
C010,3,LG+Count,True,1.7791109465501838,1.4191109465501837,3,2,0.0,0.0
C010,3,LG+CS,True,1.7408756601775623,1.4361260396275624,3,2,0.052619409,0.052619409
C010,3,JBC,True,1.8280080196242756,1.4680080196242755,3,2,0.0,0.0
C010,4,LocalGreedy,True,1.6364807443006497,1.3938665747506498,4,2,0.111796029,0.111796029
C010,4,LG+Count,True,1.6364807443006497,1.3938665747506498,4,2,0.111796029,0.111796029
C010,4,LG+CS,True,1.736308528757319,1.4315589082073188,4,2,0.052619409,0.052619409
C010,4,JBC,True,1.822308281939364,1.4623082819393638,4,2,0.0,0.0
C011,1,LocalGreedy,True,0.8839780077630462,0.7042216308630461,1,1,0.000232022,0.000232022
C011,1,LG+Count,True,0.8839780077630462,0.7042216308630461,1,1,0.000232022,0.000232022
